"AIRPORT_SEQ_ID","AIRPORT_ID","AIRPORT","DISPLAY_AIRPORT_NAME","AIRPORT_WAC_SEQ_ID2","AIRPORT_WAC","AIRPORT_COUNTRY_CODE_ISO","LAT_DEGREES","LATITUDE","LON_DEGREES","LONGITUDE",
1652603,16526,"MA4","Marshfield Municipal George Harlow Field",1301,13,"US",42,42.09833333,70,-70.67222222,
1652604,16526,"MA4","Marshfield Municipal George Harlow Field",1301,13,"US",42,42.09750000,70,-70.67305556,
1652701,16527,"MVC","Monroe County",5101,51,"US",31,31.45805556,87,-87.35111111,
1652702,16527,"MVC","Monroe County Aeroplex",5101,51,"US",31,31.45805556,87,-87.35111111,
1652703,16527,"MVC","Monroe County",5101,51,"US",31,31.45805556,87,-87.35111111,
1652704,16527,"MVC","Monroe County Aeroplex",5101,51,"US",31,31.45805556,87,-87.35111111,
1652801,16528,"VA5","Hanover County Municipal",3801,38,"US",37,37.70888889,77,-77.43666667,
1652901,16529,"VII","Vinh",79101,791,"VN",18,18.73750000,105,105.67083333,
1653001,16530,"PPQ","Paraparaumu Airport",85101,851,"NZ",40,-40.90527778,174,174.98805556,
1653101,16531,"AZI","Al Bateen Executive",67801,678,"AE",24,24.42833333,54,54.45805556,
1653201,16532,"OH9","Medina Municipal",4401,44,"US",41,41.13138889,81,-81.76500000,
1653301,16533,"JBQ","Dr. Joaquin Balaguer International",22401,224,"DO",18,18.57222222,69,-69.98555556,
1653401,16534,"FL6","Airglades",3301,33,"US",26,26.73527778,81,-81.05111111,
1653501,16535,"TMU","Tambor Airport",11001,110,"CR",9,9.73972222,85,-85.01611111,
1653601,16536,"TOI","Troy Municipal",5101,51,"US",31,31.86027778,86,-86.01222222,
1653602,16536,"TOI","N Kenneth Campbell Field at Troy Municipal",5101,51,"US",31,31.86027778,86,-86.01222222,
1653603,16536,"TOI","Troy Municipal Airport at N Kenneth Campbell",5101,51,"US",31,31.86000000,86,-86.01388889,
1653604,16536,"TOI","Troy Municipal",5101,51,"US",31,31.86055556,86,-86.01222222,
1653605,16536,"TOI","Troy Municipal at N Kenneth Campbell Field",5101,51,"US",31,31.86000000,86,-86.01388889,
1653701,16537,"LA1","Natchitoches Regional",7201,72,"US",31,31.73583333,93,-93.09916667,
1653801,16538,"CTZ","Clinton Sampson County",3601,36,"US",34,34.97500000,78,-78.36555556,
1653901,16539,"IN4","Eagle Creek Airpark",4201,42,"US",39,39.83083333,86,-86.29444444,
1654001,16540,"ME3","Belfast Municipal",1201,12,"US",44,44.40944444,69,-69.01194444,
1654101,16541,"OBE","Okeechobee County",3301,33,"US",27,27.26666667,80,-80.85027778,
1654201,16542,"RBW","Lowcountry Regional",3701,37,"US",32,32.92111111,80,-80.64055556,
1654301,16543,"MA5","Northampton Airport",1301,13,"US",42,42.32805556,72,-72.61111111,
1654302,16543,"MA5","Northampton Airport",1301,13,"US",42,42.32805556,72,-72.61138889,
1654303,16543,"MA5","Northampton Airport",1301,13,"US",42,42.32805556,72,-72.61111111,
1654401,16544,"NIS","Simberi",80401,804,"PG",2,-2.66250000,151,151.99833333,
1654501,16545,"YBQ","Telegraph Harbour Airport",90601,906,"CA",48,48.98333333,123,-123.65000000,
1654601,16546,"ON1","Collingwood Airport",93601,936,"CA",44,44.44944444,80,-80.15916667,
1654602,16546,"ON1","Collingwood Airport",93601,936,"CA",44,44.44916667,80,-80.15833333,
1654603,16546,"ON1","Collingwood Airport",93601,936,"CA",44,44.44944444,80,-80.15916667,
1654701,16547,"IA4","Pella Regional Health Center Heliport",6101,61,"US",41,41.40111111,92,-92.94583333,
1654702,16547,"IA4","Pella Municipal",6101,61,"US",41,41.40111111,92,-92.94583333,
